,Unnamed: 0,sensitivity,specificity,inv_frac,delay_samples,decay_part
261,261,1.0,0.0,3.0,150,80
262,262,1.0,0.0,3.5,150,80
670,670,1.0,0.0,3.5,100,120
669,669,1.0,0.0,3.0,100,120
668,668,1.0,0.0,2.5,100,120
667,667,1.0,0.0,2.0,100,120
666,666,1.0,0.0,1.5,100,120
665,665,1.0,0.0,1.0,100,120
664,664,1.0,0.0,0.5,100,120
890,890,1.0,0.0,3.0,200,220
273,273,1.0,0.0,0.5,175,80
274,274,1.0,0.0,1.0,175,80
275,275,1.0,0.0,1.5,175,80
258,258,1.0,0.0,1.5,150,80
276,276,1.0,0.0,2.0,175,80
257,257,1.0,0.0,1.0,150,80
681,681,1.0,0.0,0.5,125,120
700,700,1.0,0.0,1.5,150,120
699,699,1.0,0.0,1.0,150,120
698,698,1.0,0.0,0.5,150,120
1128,1128,0.9993364299933644,0.0,3.0,175,280
241,241,1.0,0.0,1.5,250,60
242,242,1.0,0.0,2.0,250,60
243,243,1.0,0.0,2.5,250,60
244,244,1.0,0.0,3.0,250,60
245,245,1.0,0.0,3.5,250,60
687,687,1.0,0.0,3.5,125,120
1379,1379,1.0,0.0,1.0,100,240
685,685,1.0,0.0,2.5,125,120
684,684,1.0,0.0,2.0,125,120
683,683,1.0,0.0,1.5,125,120
682,682,1.0,0.0,1.0,125,120
256,256,1.0,0.0,0.5,150,80
701,701,1.0,0.0,2.0,150,120
277,277,1.0,0.0,2.5,175,80
652,652,1.0,0.0,3.0,75,120
630,630,1.0,0.0,0.5,50,120
295,295,1.0,0.0,3.0,200,80
296,296,1.0,0.0,3.5,200,80
888,888,1.0,0.0,2.0,200,220
307,307,1.0,0.0,0.5,225,80
308,308,1.0,0.0,1.0,225,80
309,309,1.0,0.0,1.5,225,80
619,619,1.0,0.0,3.5,25,120
618,618,1.0,0.0,3.0,25,120
617,617,1.0,0.0,2.5,25,120
616,616,1.0,0.0,2.0,25,120
615,615,1.0,0.0,1.5,25,120
614,614,1.0,0.0,1.0,25,120
613,613,1.0,0.0,0.5,25,120
310,310,1.0,0.0,2.0,225,80
631,631,1.0,0.0,1.0,50,120
278,278,1.0,0.0,3.0,175,80
632,632,1.0,0.0,1.5,50,120
634,634,1.0,0.0,2.5,50,120
651,651,1.0,0.0,2.5,75,120
650,650,1.0,0.0,2.0,75,120
649,649,1.0,0.0,1.5,75,120
648,648,1.0,0.0,1.0,75,120
647,647,1.0,0.0,0.5,75,120
279,279,0.9993364299933644,0.0,3.5,175,80
280,280,0.9986728599867286,0.0,4.0,175,80
889,889,1.0,0.0,2.5,200,220
290,290,1.0,0.0,0.5,200,80
291,291,1.0,0.0,1.0,200,80
292,292,1.0,0.0,1.5,200,80
293,293,1.0,0.0,2.0,200,80
294,294,1.0,0.0,2.5,200,80
636,636,1.0,0.0,3.5,50,120
635,635,1.0,0.0,3.0,50,120
633,633,1.0,0.0,2.0,50,120
702,702,1.0,0.0,2.5,150,120
703,703,1.0,0.0,3.0,150,120
704,704,1.0,0.0,3.5,150,120
177,177,1.0,0.0,3.5,150,60
771,771,1.0,0.0,3.0,75,140
770,770,1.0,0.0,2.5,75,140
769,769,1.0,0.0,2.0,75,140
768,768,1.0,0.0,1.5,75,140
767,767,1.0,0.0,1.0,75,140
766,766,1.0,0.0,0.5,75,140
1107,1107,1.0,0.0,1.0,150,280
188,188,1.0,0.0,0.5,175,60
189,189,1.0,0.0,1.0,175,60
190,190,1.0,0.0,1.5,175,60
191,191,1.0,0.0,2.0,175,60
192,192,1.0,0.0,2.5,175,60
193,193,1.0,0.0,3.0,175,60
194,194,0.9993364299933644,0.0,3.5,175,60
176,176,1.0,0.0,3.0,150,60
755,755,1.0,0.0,3.5,50,140
175,175,1.0,0.0,2.5,150,60
173,173,1.0,0.0,1.5,150,60
800,800,1.0,0.0,0.5,125,140
157,157,1.0,0.0,2.0,250,40
158,158,1.0,0.0,2.5,250,40
159,159,1.0,0.0,3.0,250,40
160,160,1.0,0.0,3.5,250,40
171,171,1.0,0.0,0.5,150,60
