,sensitivity,specificity,inv_frac,delay_samples,window_width
0,0.0,1.0,0.0,0,20
1,0.0,1.0,0.5,0,20
2,0.0,1.0,1.0,0,20
3,0.0,1.0,1.5,0,20
4,0.0,1.0,2.0,0,20
5,0.0,1.0,2.5,0,20
6,0.0,1.0,3.0,0,20
7,0.0,1.0,3.5,0,20
8,0.0,1.0,4.0,0,20
9,0.0,1.0,4.5,0,20
10,0.0,1.0,5.0,0,20
11,0.0,1.0,5.5,0,20
12,0.0,1.0,6.0,0,20
13,0.0,1.0,6.5,0,20
14,0.0,1.0,7.0,0,20
15,0.0,1.0,7.5,0,20
16,0.0,1.0,8.0,0,20
17,0.0,1.0,0.0,25,20
18,1.0,0.0,0.5,25,20
19,1.0,0.0,1.0,25,20
20,1.0,0.0,1.5,25,20
21,1.0,0.0,2.0,25,20
22,0.908,0.01603206412825651,2.5,25,20
23,0.562,0.24048096192384769,3.0,25,20
24,0.306,0.5551102204408818,3.5,25,20
25,0.21,0.7655310621242485,4.0,25,20
26,0.116,0.8777555110220441,4.5,25,20
27,0.062,0.9298597194388778,5.0,25,20
28,0.04,0.9559118236472945,5.5,25,20
29,0.024,0.9819639278557114,6.0,25,20
30,0.016,0.9839679358717435,6.5,25,20
31,0.008,0.9859719438877755,7.0,25,20
32,0.008,0.9939879759519038,7.5,25,20
33,0.006,0.9939879759519038,8.0,25,20
34,0.0,1.0,0.0,50,20
35,1.0,0.0,0.5,50,20
36,1.0,0.0,1.0,50,20
37,1.0,0.0,1.5,50,20
38,1.0,0.0,2.0,50,20
39,1.0,0.006012024048096192,2.5,50,20
40,0.99,0.09819639278557114,3.0,50,20
41,0.926,0.30060120240480964,3.5,50,20
42,0.778,0.5170340681362725,4.0,50,20
43,0.582,0.6893787575150301,4.5,50,20
44,0.412,0.8016032064128257,5.0,50,20
45,0.314,0.8697394789579158,5.5,50,20
46,0.23,0.9118236472945892,6.0,50,20
47,0.166,0.9318637274549099,6.5,50,20
48,0.118,0.9579158316633266,7.0,50,20
49,0.078,0.9719438877755511,7.5,50,20
50,0.062,0.9899799599198397,8.0,50,20
51,0.0,1.0,0.0,75,20
52,1.0,0.0,0.5,75,20
53,1.0,0.0,1.0,75,20
54,1.0,0.0,1.5,75,20
55,1.0,0.0,2.0,75,20
56,1.0,0.012024048096192385,2.5,75,20
57,0.996,0.11623246492985972,3.0,75,20
58,0.954,0.31462925851703405,3.5,75,20
59,0.914,0.5250501002004008,4.0,75,20
60,0.864,0.6913827655310621,4.5,75,20
61,0.788,0.7915831663326653,5.0,75,20
62,0.708,0.8697394789579158,5.5,75,20
63,0.59,0.905811623246493,6.0,75,20
64,0.5,0.9378757515030061,6.5,75,20
65,0.406,0.9639278557114228,7.0,75,20
66,0.348,0.9739478957915831,7.5,75,20
67,0.286,0.9819639278557114,8.0,75,20
68,0.0,1.0,0.0,100,20
69,1.0,0.0,0.5,100,20
70,1.0,0.0,1.0,100,20
71,1.0,0.0,1.5,100,20
72,1.0,0.0,2.0,100,20
73,1.0,0.01002004008016032,2.5,100,20
74,1.0,0.11623246492985972,3.0,100,20
75,1.0,0.3186372745490982,3.5,100,20
76,0.99,0.531062124248497,4.0,100,20
77,0.968,0.6973947895791583,4.5,100,20
78,0.922,0.8096192384769539,5.0,100,20
79,0.882,0.8557114228456913,5.5,100,20
80,0.832,0.8957915831663327,6.0,100,20
81,0.788,0.9298597194388778,6.5,100,20
82,0.75,0.9519038076152304,7.0,100,20
83,0.706,0.9719438877755511,7.5,100,20
84,0.658,0.9759519038076152,8.0,100,20
85,0.0,1.0,0.0,125,20
86,1.0,0.0,0.5,125,20
87,1.0,0.0,1.0,125,20
88,1.0,0.0,1.5,125,20
89,1.0,0.0,2.0,125,20
90,1.0,0.01002004008016032,2.5,125,20
91,1.0,0.11422845691382766,3.0,125,20
92,1.0,0.32064128256513025,3.5,125,20
93,0.998,0.5490981963927856,4.0,125,20
94,0.99,0.7154308617234469,4.5,125,20
95,0.974,0.7995991983967936,5.0,125,20
96,0.948,0.875751503006012,5.5,125,20
97,0.92,0.9118236472945892,6.0,125,20
98,0.878,0.935871743486974,6.5,125,20
99,0.84,0.9559118236472945,7.0,125,20
100,0.79,0.9639278557114228,7.5,125,20
101,0.744,0.9739478957915831,8.0,125,20
102,0.0,1.0,0.0,150,20
103,1.0,0.0,0.5,150,20
104,1.0,0.0,1.0,150,20
105,1.0,0.0,1.5,150,20
106,1.0,0.0,2.0,150,20
107,1.0,0.01002004008016032,2.5,150,20
108,1.0,0.11623246492985972,3.0,150,20
109,1.0,0.3046092184368738,3.5,150,20
110,0.998,0.5390781563126252,4.0,150,20
111,0.99,0.7014028056112225,4.5,150,20
112,0.984,0.8176352705410822,5.0,150,20
113,0.966,0.8897795591182365,5.5,150,20
114,0.942,0.9318637274549099,6.0,150,20
115,0.908,0.9519038076152304,6.5,150,20
116,0.872,0.9639278557114228,7.0,150,20
117,0.844,0.9799599198396793,7.5,150,20
118,0.804,0.9839679358717435,8.0,150,20
119,0.0,1.0,0.0,0,40
120,0.0,1.0,0.5,0,40
121,0.0,1.0,1.0,0,40
122,0.0,1.0,1.5,0,40
123,0.0,1.0,2.0,0,40
124,0.0,1.0,2.5,0,40
125,0.0,1.0,3.0,0,40
126,0.0,1.0,3.5,0,40
127,0.0,1.0,4.0,0,40
128,0.0,1.0,4.5,0,40
129,0.0,1.0,5.0,0,40
130,0.0,1.0,5.5,0,40
131,0.0,1.0,6.0,0,40
132,0.0,1.0,6.5,0,40
133,0.0,1.0,7.0,0,40
134,0.0,1.0,7.5,0,40
135,0.0,1.0,8.0,0,40
136,0.0,1.0,0.0,25,40
137,0.21,0.8637274549098196,0.5,25,40
138,1.0,0.0,1.0,25,40
139,1.0,0.03006012024048096,1.5,25,40
140,0.568,0.8597194388777555,2.0,25,40
141,0.062,0.9979959919839679,2.5,25,40
142,0.002,1.0,3.0,25,40
143,0.002,1.0,3.5,25,40
144,0.002,1.0,4.0,25,40
145,0.002,1.0,4.5,25,40
146,0.002,1.0,5.0,25,40
147,0.002,1.0,5.5,25,40
148,0.002,1.0,6.0,25,40
149,0.002,1.0,6.5,25,40
150,0.002,1.0,7.0,25,40
151,0.002,1.0,7.5,25,40
152,0.002,1.0,8.0,25,40
153,0.0,1.0,0.0,50,40
154,0.952,0.156312625250501,0.5,50,40
155,1.0,0.0,1.0,50,40
156,1.0,0.0,1.5,50,40
157,1.0,0.156312625250501,2.0,50,40
158,0.976,0.657314629258517,2.5,50,40
159,0.846,0.8937875751503006,3.0,50,40
160,0.522,0.9739478957915831,3.5,50,40
161,0.252,0.9959919839679359,4.0,50,40
162,0.102,1.0,4.5,50,40
163,0.036,1.0,5.0,50,40
164,0.018,1.0,5.5,50,40
165,0.004,1.0,6.0,50,40
166,0.002,1.0,6.5,50,40
167,0.002,1.0,7.0,50,40
168,0.002,1.0,7.5,50,40
169,0.002,1.0,8.0,50,40
170,0.0,1.0,0.0,75,40
171,0.972,0.12424849699398798,0.5,75,40
172,1.0,0.0,1.0,75,40
173,1.0,0.0,1.5,75,40
174,1.0,0.1062124248496994,2.0,75,40
175,0.988,0.5691382765531062,2.5,75,40
176,0.952,0.8476953907815631,3.0,75,40
177,0.872,0.9458917835671342,3.5,75,40
178,0.798,0.9879759519038076,4.0,75,40
179,0.712,0.9959919839679359,4.5,75,40
180,0.57,1.0,5.0,75,40
181,0.382,1.0,5.5,75,40
182,0.26,1.0,6.0,75,40
183,0.158,1.0,6.5,75,40
184,0.078,1.0,7.0,75,40
185,0.046,1.0,7.5,75,40
186,0.034,1.0,8.0,75,40
187,0.0,1.0,0.0,100,40
188,0.984,0.14228456913827656,0.5,100,40
189,1.0,0.0,1.0,100,40
190,1.0,0.0,1.5,100,40
191,1.0,0.14428857715430862,2.0,100,40
192,1.0,0.561122244488978,2.5,100,40
193,0.998,0.8396793587174348,3.0,100,40
194,0.962,0.9298597194388778,3.5,100,40
195,0.9,0.9799599198396793,4.0,100,40
196,0.854,0.9919839679358717,4.5,100,40
197,0.798,0.9959919839679359,5.0,100,40
198,0.732,0.9979959919839679,5.5,100,40
199,0.694,1.0,6.0,100,40
200,0.628,1.0,6.5,100,40
201,0.548,1.0,7.0,100,40
202,0.416,1.0,7.5,100,40
203,0.314,1.0,8.0,100,40
204,0.0,1.0,0.0,125,40
205,0.988,0.1342685370741483,0.5,125,40
206,1.0,0.0,1.0,125,40
207,1.0,0.0,1.5,125,40
208,1.0,0.12224448897795591,2.0,125,40
209,1.0,0.5971943887775552,2.5,125,40
210,1.0,0.8356713426853707,3.0,125,40
211,0.996,0.9318637274549099,3.5,125,40
212,0.974,0.9719438877755511,4.0,125,40
213,0.938,0.9919839679358717,4.5,125,40
214,0.886,0.9979959919839679,5.0,125,40
215,0.83,1.0,5.5,125,40
216,0.776,1.0,6.0,125,40
217,0.728,1.0,6.5,125,40
218,0.692,1.0,7.0,125,40
219,0.634,1.0,7.5,125,40
220,0.55,1.0,8.0,125,40
221,0.0,1.0,0.0,150,40
222,0.998,0.12224448897795591,0.5,150,40
223,1.0,0.0,1.0,150,40
224,1.0,0.0,1.5,150,40
225,1.0,0.12424849699398798,2.0,150,40
226,1.0,0.5991983967935872,2.5,150,40
227,1.0,0.8476953907815631,3.0,150,40
228,0.998,0.9559118236472945,3.5,150,40
229,0.982,0.9759519038076152,4.0,150,40
230,0.958,0.9879759519038076,4.5,150,40
231,0.922,0.9979959919839679,5.0,150,40
232,0.878,1.0,5.5,150,40
233,0.82,1.0,6.0,150,40
234,0.782,1.0,6.5,150,40
235,0.72,1.0,7.0,150,40
236,0.668,1.0,7.5,150,40
237,0.578,1.0,8.0,150,40
238,0.0,1.0,0.0,0,60
239,0.0,1.0,0.5,0,60
240,0.0,1.0,1.0,0,60
241,0.0,1.0,1.5,0,60
242,0.0,1.0,2.0,0,60
243,0.0,1.0,2.5,0,60
244,0.0,1.0,3.0,0,60
245,0.0,1.0,3.5,0,60
246,0.0,1.0,4.0,0,60
247,0.0,1.0,4.5,0,60
248,0.0,1.0,5.0,0,60
249,0.0,1.0,5.5,0,60
250,0.0,1.0,6.0,0,60
251,0.0,1.0,6.5,0,60
252,0.0,1.0,7.0,0,60
253,0.0,1.0,7.5,0,60
254,0.0,1.0,8.0,0,60
255,0.0,1.0,0.0,25,60
256,0.0,1.0,0.5,25,60
257,1.0,0.0,1.0,25,60
258,0.934,0.8977955911823647,1.5,25,60
259,0.012,1.0,2.0,25,60
260,0.002,1.0,2.5,25,60
261,0.002,1.0,3.0,25,60
262,0.002,1.0,3.5,25,60
263,0.002,1.0,4.0,25,60
264,0.002,1.0,4.5,25,60
265,0.002,1.0,5.0,25,60
266,0.002,1.0,5.5,25,60
267,0.002,1.0,6.0,25,60
268,0.002,1.0,6.5,25,60
269,0.002,1.0,7.0,25,60
270,0.002,1.0,7.5,25,60
271,0.002,1.0,8.0,25,60
272,0.0,1.0,0.0,50,60
273,0.584,0.8857715430861723,0.5,50,60
274,1.0,0.0,1.0,50,60
275,1.0,0.07214428857715431,1.5,50,60
276,0.97,0.8857715430861723,2.0,50,60
277,0.802,0.9939879759519038,2.5,50,60
278,0.368,1.0,3.0,50,60
279,0.048,1.0,3.5,50,60
280,0.004,1.0,4.0,50,60
281,0.002,1.0,4.5,50,60
282,0.002,1.0,5.0,50,60
283,0.002,1.0,5.5,50,60
284,0.002,1.0,6.0,50,60
285,0.002,1.0,6.5,50,60
286,0.002,1.0,7.0,50,60
287,0.002,1.0,7.5,50,60
288,0.002,1.0,8.0,50,60
289,0.0,1.0,0.0,75,60
290,0.828,0.6352705410821643,0.5,75,60
291,1.0,0.0,1.0,75,60
292,1.0,0.008016032064128256,1.5,75,60
293,1.0,0.6172344689378757,2.0,75,60
294,0.97,0.9458917835671342,2.5,75,60
295,0.884,0.9919839679358717,3.0,75,60
296,0.786,0.9979959919839679,3.5,75,60
297,0.674,1.0,4.0,75,60
298,0.43,1.0,4.5,75,60
299,0.194,1.0,5.0,75,60
300,0.052,1.0,5.5,75,60
301,0.018,1.0,6.0,75,60
302,0.004,1.0,6.5,75,60
303,0.004,1.0,7.0,75,60
304,0.002,1.0,7.5,75,60
305,0.002,1.0,8.0,75,60
306,0.0,1.0,0.0,100,60
307,0.886,0.5591182364729459,0.5,100,60
308,1.0,0.0,1.0,100,60
309,1.0,0.012024048096192385,1.5,100,60
310,1.0,0.5531062124248497,2.0,100,60
311,1.0,0.9178356713426854,2.5,100,60
312,0.984,0.9819639278557114,3.0,100,60
313,0.9,0.9959919839679359,3.5,100,60
314,0.836,0.9979959919839679,4.0,100,60
315,0.768,1.0,4.5,100,60
316,0.69,1.0,5.0,100,60
317,0.624,1.0,5.5,100,60
318,0.516,1.0,6.0,100,60
319,0.324,1.0,6.5,100,60
