,sensitivity,specificity,inv_frac,delay_samples,window
135,0.318,0.6112224448897795,3.5,25,20
136,0.224,0.7915831663326653,4.0,25,20
137,0.146,0.87374749498998,4.5,25,20
138,0.084,0.9318637274549099,5.0,25,20
139,0.054,0.9519038076152304,5.5,25,20
140,0.036,0.9759519038076152,6.0,25,20
141,0.028,0.9839679358717435,6.5,25,20
142,0.018,0.9899799599198397,7.0,25,20
143,0.008,0.9979959919839679,7.5,25,20
144,0.0,1.0,0.0,50,20
145,1.0,0.0,0.5,50,20
146,1.0,0.0,1.0,50,20
147,1.0,0.0,1.5,50,20
148,1.0,0.0,2.0,50,20
149,1.0,0.014028056112224449,2.5,50,20
150,0.99,0.17034068136272545,3.0,50,20
151,0.93,0.4789579158316633,3.5,50,20
152,0.762,0.6773547094188377,4.0,50,20
153,0.55,0.8076152304609219,4.5,50,20
154,0.4,0.8837675350701403,5.0,50,20
155,0.31,0.9298597194388778,5.5,50,20
156,0.246,0.9579158316633266,6.0,50,20
157,0.174,0.9739478957915831,6.5,50,20
158,0.112,0.9819639278557114,7.0,50,20
159,0.08,0.9879759519038076,7.5,50,20
160,0.0,1.0,0.0,75,20
161,1.0,0.0,0.5,75,20
162,1.0,0.0,1.0,75,20
163,1.0,0.0,1.5,75,20
164,1.0,0.0,2.0,75,20
165,1.0,0.03006012024048096,2.5,75,20
166,0.996,0.18837675350701402,3.0,75,20
167,0.956,0.45691382765531063,3.5,75,20
168,0.91,0.6813627254509018,4.0,75,20
169,0.856,0.7915831663326653,4.5,75,20
170,0.802,0.8777555110220441,5.0,75,20
171,0.72,0.9258517034068137,5.5,75,20
172,0.624,0.9619238476953907,6.0,75,20
173,0.516,0.9739478957915831,6.5,75,20
174,0.444,0.9799599198396793,7.0,75,20
175,0.372,0.9879759519038076,7.5,75,20
176,0.0,1.0,0.0,100,20
177,1.0,0.0,0.5,100,20
178,1.0,0.0,1.0,100,20
179,1.0,0.0,1.5,100,20
180,1.0,0.0,2.0,100,20
181,1.0,0.03206412825651302,2.5,100,20
182,1.0,0.18036072144288579,3.0,100,20
183,0.998,0.4228456913827655,3.5,100,20
184,0.986,0.625250501002004,4.0,100,20
185,0.966,0.779559118236473,4.5,100,20
186,0.932,0.8476953907815631,5.0,100,20
187,0.884,0.8997995991983968,5.5,100,20
188,0.844,0.9458917835671342,6.0,100,20
189,0.796,0.9679358717434869,6.5,100,20
190,0.74,0.9799599198396793,7.0,100,20
191,0.716,0.9899799599198397,7.5,100,20
192,0.0,1.0,0.0,125,20
193,1.0,0.0,0.5,125,20
194,1.0,0.0,1.0,125,20
195,1.0,0.0,1.5,125,20
196,1.0,0.0,2.0,125,20
197,1.0,0.022044088176352707,2.5,125,20
198,1.0,0.1843687374749499,3.0,125,20
199,1.0,0.45490981963927857,3.5,125,20
200,0.998,0.6412825651302605,4.0,125,20
201,0.992,0.7715430861723447,4.5,125,20
202,0.972,0.8537074148296593,5.0,125,20
203,0.936,0.9018036072144289,5.5,125,20
204,0.908,0.935871743486974,6.0,125,20
205,0.868,0.9619238476953907,6.5,125,20
206,0.816,0.9739478957915831,7.0,125,20
207,0.764,0.9859719438877755,7.5,125,20
208,0.0,1.0,0.0,150,20
209,1.0,0.0,0.5,150,20
210,1.0,0.0,1.0,150,20
211,1.0,0.0,1.5,150,20
212,1.0,0.0,2.0,150,20
213,1.0,0.018036072144288578,2.5,150,20
214,1.0,0.17835671342685372,3.0,150,20
215,1.0,0.43286573146292584,3.5,150,20
216,0.996,0.6513026052104208,4.0,150,20
217,0.99,0.7915831663326653,4.5,150,20
218,0.982,0.87374749498998,5.0,150,20
219,0.966,0.9438877755511023,5.5,150,20
220,0.926,0.9599198396793587,6.0,150,20
221,0.904,0.9779559118236473,6.5,150,20
222,0.866,0.9839679358717435,7.0,150,20
223,0.83,0.9919839679358717,7.5,150,20
224,0.0,1.0,0.0,0,40
225,0.0,1.0,0.5,0,40
226,0.0,1.0,1.0,0,40
227,0.0,1.0,1.5,0,40
228,0.0,1.0,2.0,0,40
229,0.0,1.0,2.5,0,40
230,0.0,1.0,3.0,0,40
231,0.0,1.0,3.5,0,40
232,0.0,1.0,4.0,0,40
233,0.0,1.0,4.5,0,40
234,0.0,1.0,5.0,0,40
235,0.0,1.0,5.5,0,40
236,0.0,1.0,6.0,0,40
237,0.0,1.0,6.5,0,40
238,0.0,1.0,7.0,0,40
239,0.0,1.0,7.5,0,40
240,0.0,1.0,0.0,25,40
241,0.994,0.002004008016032064,0.5,25,40
242,1.0,0.0,1.0,25,40
243,1.0,0.0,1.5,25,40
244,1.0,0.0,2.0,25,40
245,0.872,0.05811623246492986,2.5,25,40
246,0.566,0.3306613226452906,3.0,25,40
247,0.318,0.6112224448897795,3.5,25,40
248,0.224,0.7915831663326653,4.0,25,40
249,0.146,0.87374749498998,4.5,25,40
250,0.084,0.9318637274549099,5.0,25,40
251,0.054,0.9519038076152304,5.5,25,40
252,0.036,0.9759519038076152,6.0,25,40
253,0.028,0.9839679358717435,6.5,25,40
254,0.018,0.9899799599198397,7.0,25,40
255,0.008,0.9979959919839679,7.5,25,40
256,0.0,1.0,0.0,50,40
257,1.0,0.0,0.5,50,40
258,1.0,0.0,1.0,50,40
259,1.0,0.0,1.5,50,40
260,1.0,0.0,2.0,50,40
261,1.0,0.014028056112224449,2.5,50,40
262,0.99,0.17034068136272545,3.0,50,40
263,0.93,0.4789579158316633,3.5,50,40
264,0.762,0.6773547094188377,4.0,50,40
265,0.55,0.8076152304609219,4.5,50,40
266,0.4,0.8837675350701403,5.0,50,40
267,0.31,0.9298597194388778,5.5,50,40
268,0.246,0.9579158316633266,6.0,50,40
269,0.174,0.9739478957915831,6.5,50,40
270,0.112,0.9819639278557114,7.0,50,40
271,0.08,0.9879759519038076,7.5,50,40
272,0.0,1.0,0.0,75,40
273,1.0,0.0,0.5,75,40
274,1.0,0.0,1.0,75,40
275,1.0,0.0,1.5,75,40
276,1.0,0.0,2.0,75,40
277,1.0,0.03006012024048096,2.5,75,40
278,0.996,0.18837675350701402,3.0,75,40
279,0.956,0.45691382765531063,3.5,75,40
280,0.91,0.6813627254509018,4.0,75,40
281,0.856,0.7915831663326653,4.5,75,40
282,0.802,0.8777555110220441,5.0,75,40
283,0.72,0.9258517034068137,5.5,75,40
284,0.624,0.9619238476953907,6.0,75,40
285,0.516,0.9739478957915831,6.5,75,40
286,0.444,0.9799599198396793,7.0,75,40
287,0.372,0.9879759519038076,7.5,75,40
288,0.0,1.0,0.0,100,40
289,1.0,0.0,0.5,100,40
290,1.0,0.0,1.0,100,40
291,1.0,0.0,1.5,100,40
292,1.0,0.0,2.0,100,40
293,1.0,0.03206412825651302,2.5,100,40
294,1.0,0.18036072144288579,3.0,100,40
295,0.998,0.4228456913827655,3.5,100,40
296,0.986,0.625250501002004,4.0,100,40
297,0.966,0.779559118236473,4.5,100,40
298,0.932,0.8476953907815631,5.0,100,40
299,0.884,0.8997995991983968,5.5,100,40
300,0.844,0.9458917835671342,6.0,100,40
301,0.796,0.9679358717434869,6.5,100,40
302,0.74,0.9799599198396793,7.0,100,40
303,0.716,0.9899799599198397,7.5,100,40
